participant,type,exp_cnt,test,conf,ans,real_ans,res,te_time,conf_time,total_time,,XO,OX,OO,XX,,
sooyeon,pre,4,3,3,5,3,0,64.57563591,2.618000984,0,,,,,,,
sooyeon,pre,4,4,3,5,1,0,88.4014051,1.704391003,0,,,,,,,
sooyeon,pre,4,5,3,2,2,1,25.13409185,2.214509964,945.7306728,,,,,,,
sooyeon,post,4,1,4,5,5,1,104.2135811,1.576358795,0,OO,0,0,1,,1,
sooyeon,post,4,2,4,5,5,1,135.8847811,1.65951395,0,XO,1,0,,,1,
sooyeon,post,4,3,3,3,3,1,68.22445512,1.728391886,0,XO,1,0,,,1,
sooyeon,post,4,4,3,1,1,1,31.70918393,1.555353165,0,XO,1,0,,,1,
sooyeon,post,4,5,3,1,1,1,50.47707486,1.428706169,473.1944351,OO,0,0,1,,1,
sooyeon,pre,5,1,2,4,2,0,47.31572008,3.295744896,0,,,,,,,
sooyeon,pre,5,2,2,1,1,1,81.85895801,1.84842205,0,,,,,,,
sooyeon,pre,5,3,3,4,5,0,65.80093002,1.624372005,0,,,,,,,
sooyeon,pre,5,4,2,5,3,0,99.02143002,1.991451979,0,,,,,,,
sooyeon,pre,5,5,1,3,3,1,70.80104089,3.327876091,492.4233611,,,,,,,
sooyeon,post,5,1,4,1,1,1,41.76146507,2.360682011,0,XO,1,0,,,1,
sooyeon,post,5,2,3,4,4,1,42.1035428,2.810636997,0,OO,0,0,1,,1,
sooyeon,post,5,3,3,5,5,1,33.82966304,1.660377026,0,XO,1,0,,,1,
sooyeon,post,5,4,3,4,4,1,107.11643,1.919434071,0,XO,1,0,,,1,
sooyeon,post,5,5,3,1,4,0,77.08646297,1.600836992,427.9103451,OX,0,1,,,1,
yebon,pre,1,1,3,1,2,0,51.38564396,4.563036203,0,,,,,,,
yebon,pre,1,2,3,1,5,0,85.1062789,1.697350025,0,,,,,,,
yebon,pre,1,3,3,1,1,1,64.12952805,2.057467937,0,,,,,,,
yebon,pre,1,4,3,2,2,1,65.7268889,2.664108038,0,,,,,,,
yebon,pre,1,5,1,5,1,0,81.23440099,3.32172513,384.6654251,,,,,,,
yebon,post,1,1,4,4,4,1,114.6679828,3.580574989,0,XO,1,0,,,1,
yebon,post,1,2,4,4,2,0,88.974154,2.308505058,0,XX,0,0,0,1,1,
yebon,post,1,3,1,2,2,1,187.876559,1.942862988,0,OO,0,0,1,,1,
yebon,post,1,4,5,3,3,1,74.52859592,2.36908412,0,OO,0,0,1,,1,
yebon,post,1,5,4,4,4,1,120.5524571,2.29851985,743.6830649,XO,1,0,,,1,
yebon,pre,2,1,2,1,4,0,123.151901,2.096476078,0,,,,,,,
yebon,pre,2,2,4,4,4,1,42.82226586,2.455554962,0,,,,,,,
yebon,pre,2,3,2,4,5,0,83.722965,3.114821196,0,,,,,,,
yebon,pre,2,4,3,2,3,0,113.0761869,2.216505051,0,,,,,,,
yebon,pre,2,5,1,2,5,0,114.567766,1.646997929,511.057384,,,,,,,
yebon,post,2,1,5,4,4,1,45.52936697,2.777191877,0,XO,1,0,,,1,
yebon,post,2,2,3,3,3,1,70.33634806,2.545584917,0,OO,0,0,1,,1,
yebon,post,2,3,3,3,1,0,110.5910971,1.737393856,0,XX,0,0,0,1,1,
yebon,post,2,4,4,5,5,1,53.51813817,2.128483057,0,XO,1,0,,,1,
yebon,post,2,5,3,4,4,1,117.1895728,2.264513016,433.6883209,XO,1,0,,,1,
yebon,pre,3,1,3,3,3,1,106.0110009,2.0390172,0,,,,,,,
yebon,pre,3,2,1,2,1,0,88.99841094,2.287739992,0,,,,,,,
yebon,pre,3,3,3,4,4,1,45.01533198,1.66386199,0,,,,,,,
yebon,pre,3,4,2,5,5,1,85.70760798,2.119790077,0,,,,,,,
yebon,pre,3,5,2,3,4,0,93.02707601,1.562177896,460.9009609,,,,,,,
yebon,post,3,1,1,1,1,1,102.652257,2.041462183,0,OO,0,0,1,,1,
yebon,post,3,2,3,3,3,1,124.0811059,2.125838041,0,XO,1,0,,,1,
yebon,post,3,3,1,4,4,1,114.8241649,1.455331087,0,OO,0,0,1,,1,
yebon,post,3,4,1,5,4,0,219.718827,2.109503984,0,OX,0,1,,,1,
yebon,post,3,5,5,3,3,1,47.24054289,2.182496071,634.24177,XO,1,0,,,1,
yebon,pre,4,1,2,4,4,1,100.6214852,2.153641939,0,,,,,,,
yebon,pre,4,2,1,4,4,1,150.355082,3.735844851,0,,,,,,,
yebon,pre,4,3,3,3,3,1,91.26767397,1.619644165,0,,,,,,,
yebon,pre,4,4,1,4,1,0,117.1815438,1.824416161,0,,,,,,,
